time,open,high,low,close,Volume,Volume MA
4/2/2009,69.61,69.61,69.61,69.61,NaN,NaN
4/3/2009,67.86,67.86,67.86,67.86,NaN,NaN
4/6/2009,68.26,68.26,68.26,68.26,NaN,NaN
4/7/2009,66.39,66.39,66.39,66.39,NaN,NaN
4/8/2009,68.72,68.72,68.72,68.72,NaN,NaN
4/9/2009,65.22,65.22,65.22,65.22,NaN,NaN
4/13/2009,67.51,67.51,67.51,67.51,NaN,NaN
4/14/2009,65.79,65.79,65.79,65.79,NaN,NaN
4/15/2009,64.95,64.95,64.95,64.95,NaN,NaN
4/16/2009,69.72,69.72,69.72,69.72,NaN,NaN
4/17/2009,68.92,68.92,68.92,68.92,NaN,NaN
4/20/2009,75.48,75.48,75.48,75.48,NaN,NaN
4/21/2009,75.48,75.48,75.48,75.48,NaN,NaN
4/22/2009,75.52,75.52,75.52,75.52,NaN,NaN
4/23/2009,72.81,72.81,72.81,72.81,NaN,NaN
4/24/2009,72.04,72.04,72.04,72.04,NaN,NaN
4/27/2009,74.16,74.16,74.16,74.16,NaN,NaN
4/28/2009,74.22,74.22,74.22,74.22,NaN,NaN
4/29/2009,72.12,72.12,72.12,72.12,NaN,NaN
4/30/2009,71.42,71.42,71.42,71.42,NaN,NaN
5/1/2009,69.82,69.82,69.82,69.82,NaN,NaN
5/4/2009,70.36,70.36,70.36,70.36,NaN,NaN
5/5/2009,70.77,70.77,70.77,70.77,NaN,NaN
5/6/2009,71.15,71.15,71.15,71.15,NaN,NaN
5/7/2009,72.79,72.79,72.79,72.79,NaN,NaN
5/8/2009,74.66,74.66,74.66,74.66,NaN,NaN
5/11/2009,76.86,76.86,76.86,76.86,NaN,NaN
5/12/2009,77.53,77.53,77.53,77.53,NaN,NaN
5/13/2009,81.87,81.87,81.87,81.87,NaN,NaN
5/14/2009,79.38,79.38,79.38,79.38,NaN,NaN
5/15/2009,80.29,80.29,80.29,80.29,NaN,NaN
5/18/2009,76.41,76.41,76.41,76.41,NaN,NaN
5/19/2009,74.4,74.4,74.4,74.4,NaN,NaN
5/20/2009,77.45,77.45,77.45,77.45,NaN,NaN
5/21/2009,84.69,84.69,84.69,84.69,NaN,NaN
