time,open,high,low,close,Volume,Volume MA
2013-03-06,0.935,1.145,0.653,0.681,NaN,NaN
2013-03-07,0.734,1.015,0.559,0.871,NaN,NaN
2013-03-08,0.607,1.101,0.6,0.843,NaN,NaN
2013-03-11,0.536,1.242,0.422,1.015,NaN,NaN
2013-03-12,0.752,1.037,0.62,1.037,NaN,NaN
2013-03-13,0.523,0.782,0.489,0.717,NaN,NaN
2013-03-14,1.249,1.364,0.607,0.756,NaN,NaN
2013-03-15,0.755,1.229,0.586,0.912,NaN,NaN
2013-03-18,1.627,1.889,0.732,0.838,NaN,NaN
2013-03-19,0.981,1.489,0.772,0.784,NaN,NaN
2013-03-20,2.064,2.091,0.589,0.619,NaN,NaN
2013-03-21,0.878,1.153,0.742,0.753,NaN,NaN
2013-03-22,0.942,1.17,0.651,0.819,NaN,NaN
2013-03-25,0.535,0.799,0.158,0.792,NaN,NaN
2013-03-26,0.363,0.79,0.337,0.732,NaN,NaN
2013-03-27,0.723,0.729,0.387,0.684,NaN,NaN
2013-03-28,0.861,1.164,0.748,0.917,NaN,NaN
2013-04-01,0.421,0.86,0.382,0.802,NaN,NaN
2013-04-02,1.663,1.853,0.667,0.726,NaN,NaN
2013-04-03,1.676,1.982,0.798,0.925,NaN,NaN
2013-04-04,0.85,1.243,0.455,1.05,NaN,NaN
2013-04-05,0.752,1.119,0.752,0.819,NaN,NaN
2013-04-08,1.506,1.565,0.78,0.78,NaN,NaN
2013-04-09,0.967,1.326,0.481,0.483,NaN,NaN
2013-04-10,1.084,1.167,0.746,0.774,NaN,NaN
2013-04-11,0.565,1.049,0.454,0.787,NaN,NaN
2013-04-12,1.047,1.427,0.958,1.095,NaN,NaN
2013-04-15,0.692,1.177,0.692,0.828,NaN,NaN
2013-04-16,0.786,0.844,0.435,0.647,NaN,NaN
2013-04-17,2.268,2.268,0.82,1.021,NaN,NaN
2013-04-18,0.837,1.329,0.802,1.177,NaN,NaN
2013-04-19,1.171,1.353,0.891,1.155,NaN,NaN
